Insertion_Efficiency,TAPE_Position,Transfection_Replicate,Mean_Insertion_Efficiency_By_Postion
8.9006358125,1,1,NA
0.5699871788,2,1,NA
0.1458626735,3,1,NA
0.0503307449,4,1,NA
0.0137442512,5,1,NA
0,6,1,NA
24.7231923906,1,2,NA
3.3314242077,2,2,NA
0.4675237936,3,2,NA
0.1664736537,4,2,NA
0.0290880884,5,2,NA
0.0153147174,6,2,NA
23.2601678502,1,3,NA
4.9916995821,2,3,NA
0.7286830816,3,3,NA
0.1459176229,4,3,NA
0.0262329486,5,3,NA
0,6,3,NA
21.7167724336,1,4,NA
1.5118078127,2,4,NA
0.4630215318,3,4,NA
0.3537505516,4,4,NA
0.0229441997,5,4,NA
9.617604e-4,6,4,NA
